,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
148,Skin,"Sabrina Carpenter",789932,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07
149,Wonder,"Shawn Mendes",787599,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
150,"Godzilla (feat. Juice WRLD)",Eminem,786331,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
151,"SO DONE","The Kid LAROI",784069,https://open.spotify.com/track/2gqWRRCXnma9L8xQ1RdemQ
152,"Rain On Me (with Ariana Grande)","Lady Gaga",777428,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
153,"SICKO MODE","Travis Scott",774533,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
154,"Love Not War (The Tampa Beat)","Jason Derulo",771336,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
155,"Mood Swings (feat. Lil Tjay)","Pop Smoke",769976,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
156,Madonna,Bausa,766844,https://open.spotify.com/track/0DAQryfUiFZdWFo76RYBc8
157,Yellow,Coldplay,766301,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
158,Antes,"Anuel AA",761280,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
159,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,756574,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
160,Tusa,"KAROL G",753397,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
161,"POPSTAR (feat. Drake)","DJ Khaled",752356,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
162,"One More Time","Daft Punk",751143,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
163,"Ponte Pa' Mi","Justin Quiles",749243,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
